날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2002-09-24,819.3,833.7,833.7,817.4,,-1.73,-0.017272400143936828,-0.43698460692688124,842.24,885.28,899.5716666666666,0.23424176475031808,1527.5,-0.4636333878887071
2002-09-25,839.7,819.3,844.2,818.5,,2.49,0.02489930428414522,-0.422965915338096,836.28,880.525,897.4233333333334,0.23544841538774594,1527.5,-0.45027823240589193
2002-09-26,855.0,839.7,856.6,839.7,,1.82,0.018220793140407254,-0.4124518966465073,838.6200000000001,877.3799999999999,895.8716666666667,0.23615533361580376,1527.5,-0.4402618657937807
2002-09-27,827.4,855.0,855.0,826.8,,-3.23,-0.03228070175438602,-0.4314183617372166,835.0200000000001,872.86,893.7616666666667,0.23796481066722822,1527.5,-0.4583306055646481
2002-09-30,815.3,827.4,827.4,800.2,,-1.46,-0.014624123761179608,-0.43973336998350576,831.3399999999999,867.82,890.8666666666667,0.23728289778328443,1527.5,-0.4662520458265139
2002-10-01,847.9,815.3,847.9,812.8,,4.0,0.03998528149147562,-0.4173309510720158,837.0600000000001,866.3149999999999,888.715,0.2407670091345686,1527.5,-0.44490998363338785
2002-10-02,827.9,843.8,851.9,826.5,,-2.36,-0.02358768722726734,-0.4310747663551384,834.7,863.04,886.6333333333333,0.24149518867149722,1527.5,-0.4580032733224223
2002-10-03,819.0,827.9,840.0,817.2,,-1.08,-0.010750090590651018,-0.437190764156128,827.5,860.0350000000001,884.9416666666667,0.24079082910565522,1527.5,-0.46382978723404256
2002-10-04,800.6,819.0,825.9,794.1,,-2.25,-0.022466422466422387,-0.44983507421660074,822.14,855.3699999999999,882.8283333333334,0.24174530140347955,1527.5,-0.4758756137479542
2002-10-07,785.3,800.6,808.2,783.0,,-1.91,-0.01911066699975028,-0.4603490929081896,816.14,849.485,880.56,0.2424040835440845,1527.5,-0.48589198036006553
2002-10-08,798.5,785.3,808.9,779.5,,1.68,0.01680886285495986,-0.4512781748213287,806.26,843.93,878.5699999999999,0.2429537520365687,1527.5,-0.4772504091653028
2002-10-09,776.8,798.5,798.5,775.8,,-2.72,-0.027175954915466538,-0.4661902144035168,796.04,837.2949999999998,876.5,0.24432253311825033,1527.5,-0.49145662847790506
2002-10-10,803.9,776.8,806.5,768.6,,3.49,0.03488671472708549,-0.4475673446948857,793.02,833.1449999999999,874.7983333333334,0.24579451241794661,1527.5,-0.47371522094926355
2002-10-11,835.3,803.9,843.3,803.9,,3.91,0.03905958452543845,-0.42598955470038313,799.96,830.4200000000001,874.0266666666666,0.24852353293977922,1527.5,-0.4531587561374796
2002-10-14,841.4,835.3,844.4,828.4,,0.73,0.00730276547348252,-0.42179769103903075,811.18,827.9350000000001,873.92,0.2486239887686017,1527.5,-0.449165302782324
2002-10-15,881.3,841.4,881.3,841.4,,4.74,0.04742096505823623,-0.3943787795492011,827.74,828.325,874.9433333333333,0.25327693614760427,1527.5,-0.42304418985270054
2002-10-16,860.0,881.3,881.3,856.3,,-2.42,-0.02416884148417109,-0.40901594282572673,844.3799999999999,827.85,875.9816666666667,0.2542432029276875,1527.5,-0.43698854337152204
2002-10-17,879.2,860.0,885.4,860.0,,2.23,0.022325581395348904,-0.39582188015392894,859.4399999999999,829.6450000000001,876.5783333333333,0.25466739052344994,1527.5,-0.42441898527004907
